family,scheme,anchor_name,anchor_code,friend_name,friend_code
"grey","1","Cornforth White No. 228","228","Mizzle No. 266","266"
"grey","1","Cornforth White No. 228","228","Elephant's Breath No. 229","229"
"grey","1","Mizzle No. 266","266","Elephant's Breath No. 229","229"
"grey","2","Pavilion Gray No. 242","242","Blackened No. 2011","2011"
"grey","2","Pavilion Gray No. 242","242","Wevet No. 273","273"
"grey","2","Blackened No. 2011","2011","Wevet No. 273","273"
"grey","3","Hardwick White No. 5","5","School House White No. 291","291"
"grey","3","Hardwick White No. 5","5","Dibber No. 312","312"
"grey","3","School House White No. 291","291","Dibber No. 312","312"
"grey","4","Lamp Room Gray No. 88","88","Cinder Rose No. 246","246"
"grey","4","Lamp Room Gray No. 88","88","Douter No. 318","318"
"grey","4","Cinder Rose No. 246","246","Douter No. 318","318"
"grey","5","Ammonite No. 274","274","Purbeck Stone No. 275","275"
"grey","5","Ammonite No. 274","274","Selvedge No. 306","306"
"grey","5","Purbeck Stone No. 275","275","Selvedge No. 306","306"
"grey","6","Cornforth White No. 228","228","Mole's Breath No. 276","276"
"grey","6","Cornforth White No. 228","228","Sulking Room Pink No. 295","295"
"grey","6","Mole's Breath No. 276","276","Sulking Room Pink No. 295","295"
"grey","7","Hardwick White No. 5","5","Reduced Green No. 313","313"
"grey","7","Hardwick White No. 5","5","Menagerie No. 63","63"
"grey","7","Reduced Green No. 313","313","Menagerie No. 63","63"
"blue","1","Oval Room Blue No. 85","85","Teresa's Green No. 236","236"
"blue","1","Oval Room Blue No. 85","85","Green Blue No. 84","84"
"blue","1","Teresa's Green No. 236","236","Green Blue No. 84","84"
"blue","2","Cromarty No. 285","285","Blue Gray No. 91","91"
"blue","2","Cromarty No. 285","285","Pigeon No. 25","25"
"blue","2","Blue Gray No. 91","91","Pigeon No. 25","25"
"blue","3","Parma Gray No. 27","27","Sizing No. 314","314"
"blue","3","Parma Gray No. 27","27","Hague Blue No. 30","30"
"blue","3","Sizing No. 314","314","Hague Blue No. 30","30"
"blue","4","Cook's Blue No. 237","237","Yeabridge Green No. 287","287"
"blue","4","Cook's Blue No. 237","237","Nancy's Blushes No. 278","278"
"blue","4","Yeabridge Green No. 287","287","Nancy's Blushes No. 278","278"
"blue","5","Blackened No. 2011","2011","Sizing No. 314","314"
"blue","5","Blackened No. 2011","2011","Berrington Blue No. 14","14"
"blue","5","Sizing No. 314","314","Berrington Blue No. 14","14"
"blue","6","Shaded White No. 201","201","Blanc De Treillage No. G1",""
"blue","6","Shaded White No. 201","201","Oval Room Blue No. 85","85"
"blue","6","Blanc De Treillage No. G1","","Oval Room Blue No. 85","85"
"blue","7","Old White No. 4","4","Sloe Blue No. 87","87"
"blue","7","Old White No. 4","4","Pantalon No. 221","221"
"blue","7","Sloe Blue No. 87","87","Pantalon No. 221","221"
"green","1","Dibber No. 312","312","Beverly No. 310","310"
"green","1","Dibber No. 312","312","Treron No. 292","292"
"green","1","Beverly No. 310","310","Treron No. 292","292"
"green","2","Eddy No. 301","301","French Gray No. 18","18"
"green","2","Eddy No. 301","301","Treron No. 292","292"
"green","2","French Gray No. 18","18","Treron No. 292","292"
"green","3","Vert de Terre No. 234","234","Slipper Satin No. 2004","2004"
"green","3","Vert de Terre No. 234","234","Lichen No. 19","19"
"green","3","Slipper Satin No. 2004","2004","Lichen No. 19","19"
"green","4","Reduced Green No. 313","313","Duster No. 319","319"
"green","4","Reduced Green No. 313","313","Marmelo No. 316","316"
"green","4","Duster No. 319","319","Marmelo No. 316","316"
"green","5","All White No. 2005","2005","James White No. 2010","2010"
"green","5","All White No. 2005","2005","Eddy No. 301","301"
"green","5","James White No. 2010","2010","Eddy No. 301","301"
"green","6","Drop Cloth No. 283","283","Card Room Green No. 79","79"
"green","6","Drop Cloth No. 283","283","Turret White No. G2",""
"green","6","Card Room Green No. 79","79","Turret White No. G2",""
"green","7","School House White No. 291","291","Dibber No. 312","312"
"green","7","School House White No. 291","291","Duster No. 319","319"
"green","7","Dibber No. 312","312","Duster No. 319","319"
"red","1","Book Room Red No. 50","50","Menagerie No. 63","63"
"red","1","Book Room Red No. 50","50","Radicchio No. 96","96"
"red","1","Menagerie No. 63","63","Radicchio No. 96","96"
"red","2","Naperon No. 315","315","Red Earth No. 64","64"
"red","2","Naperon No. 315","315","Picture Gallery Red No. 42","42"
"red","2","Red Earth No. 64","64","Picture Gallery Red No. 42","42"
"red","3","Preference Red No. 297","297","Joa's White No. 226","226"
"red","3","Preference Red No. 297","297","De Nimes No. 299","299"
"red","3","Joa's White No. 226","226","De Nimes No. 299","299"
"red","4","Incarnadine No. 248","248","Wine Dark No. 308","308"
"red","4","Incarnadine No. 248","248","Bancha No. 298","298"
"red","4","Wine Dark No. 308","308","Bancha No. 298","298"
"red","5","Joa's White No. 226","226","Oxford Stone No. 264","264"
"red","5","Joa's White No. 226","226","Fox Red No. 48","48"
"red","5","Oxford Stone No. 264","264","Fox Red No. 48","48"
"red","6","Pointing No. 2003","2003","Scallop No. 311","311"
"red","6","Pointing No. 2003","2003","Etruscan Red No. 56","56"
"red","6","Scallop No. 311","311","Etruscan Red No. 56","56"
"red","7","Preference Red No. 297","297","Fawn No. 10","10"
"red","7","Preference Red No. 297","297","Green Stone No. 12","12"
"red","7","Fawn No. 10","10","Green Stone No. 12","12"
"orange","1","Orangery No. 70","70","Dutch Orange No. W76",""
"orange","1","Orangery No. 70","70","Faded Terracotta No. CC8",""
"orange","1","Dutch Orange No. W76","","Faded Terracotta No. CC8",""
"orange","2","Dutch Orange No. W76","","Orange Coloured White No. W5",""
"orange","2","Dutch Orange No. W76","","Pointing No. 2003","2003"
"orange","2","Orange Coloured White No. W5","","Pointing No. 2003","2003"
"orange","3","Marmelo No. 316","316","Naperon No. 315","315"
"orange","3","Marmelo No. 316","316","All White No. 2005","2005"
"orange","3","Naperon No. 315","315","All White No. 2005","2005"
"orange","4","Charlotte's Locks No. 268","268","Danish Lawn No. 9817","9817"
"orange","4","Charlotte's Locks No. 268","268","St Giles Blue No. 280","280"
"orange","4","Danish Lawn No. 9817","9817","St Giles Blue No. 280","280"
"orange","5","Pointing No. 2003","2003","Orange Coloured White No. W5",""
"orange","5","Pointing No. 2003","2003","All White No. 2005","2005"
"orange","5","Orange Coloured White No. W5","","All White No. 2005","2005"
"orange","6","Dimity No. 2008","2008","Mortar Pink No. G13",""
"orange","6","Dimity No. 2008","2008","Loggia No. 232","232"
"orange","6","Mortar Pink No. G13","","Loggia No. 232","232"
"orange","7","Scallop No. 311","311","Marmelo No. 316","316"
"orange","7","Scallop No. 311","311","Douter No. 318","318"
"orange","7","Marmelo No. 316","316","Douter No. 318","318"
"pink","1","Fowler Pink No. 39","39","Entrance Hall Pink No. 61","61"
"pink","1","Fowler Pink No. 39","39","Dutch Pink No. 62","62"
"pink","1","Entrance Hall Pink No. 61","61","Dutch Pink No. 62","62"
"pink","2","Pink Ground No. 202","202","Setting Plaster No. 231","231"
"pink","2","Pink Ground No. 202","202","Templeton Pink No. 303","303"
"pink","2","Setting Plaster No. 231","231","Templeton Pink No. 303","303"
"pink","3","Scallop No. 311","311","Dimity No. 2008","2008"
"pink","3","Scallop No. 311","311","Templeton Pink No. 303","303"
"pink","3","Dimity No. 2008","2008","Templeton Pink No. 303","303"
"pink","4","Nancy's Blushes No. 278","278","All White No. 2005","2005"
"pink","4","Nancy's Blushes No. 278","278","Yeabridge Green No. 287","287"
"pink","4","All White No. 2005","2005","Yeabridge Green No. 287","287"
"pink","5","Pointing No. 2003","2003","Setting Plaster No. 231","231"
"pink","5","Pointing No. 2003","2003","Red Earth No. 64","64"
"pink","5","Setting Plaster No. 231","231","Red Earth No. 64","64"
"pink","6","School House White No. 291","291","Bone No. 15","15"
"pink","6","School House White No. 291","291","Fruit Fool No. 9911","9911"
"pink","6","Bone No. 15","15","Fruit Fool No. 9911","9911"
"pink","7","Dimity No. 2008","2008","Templeton Pink No. 303","303"
"pink","7","Dimity No. 2008","2008","India Yellow No. 66","66"
"pink","7","Templeton Pink No. 303","303","India Yellow No. 66","66"
"yellow","1","Octagon Yellow No. 7","7","Biscuit No. 38","38"
"yellow","1","Octagon Yellow No. 7","7","Sand No. 45","45"
"yellow","1","Biscuit No. 38","38","Sand No. 45","45"
"yellow","2","Tallow No. 203","203","Ringwold Ground No. 208","208"
"yellow","2","Tallow No. 203","203","Duster No. 319","319"
"yellow","2","Ringwold Ground No. 208","208","Duster No. 319","319"
"yellow","3","Hay No. 37","37","Wimborne White No. 239","239"
"yellow","3","Hay No. 37","37","Straw No. 52","52"
"yellow","3","Wimborne White No. 239","239","Straw No. 52","52"
"yellow","4","Babouche No. 223","223","Vardo No. 288","288"
"yellow","4","Babouche No. 223","223","Hopper Head No. 305","305"
"yellow","4","Vardo No. 288","288","Hopper Head No. 305","305"
"yellow","5","Wimborne White No. 239","239","New White No. 59","59"
"yellow","5","Wimborne White No. 239","239","Sudbury Yellow No. 51","51"
"yellow","5","New White No. 59","59","Sudbury Yellow No. 51","51"
"yellow","6","White Tie No. 2002","2002","Straw No. 52","52"
"yellow","6","White Tie No. 2002","2002","Tanner's Brown No. 255","255"
"yellow","6","Straw No. 52","52","Tanner's Brown No. 255","255"
"yellow","7","Shadow White No. 282","282","Treron No. 292","292"
"yellow","7","Shadow White No. 282","282","Duster No. 319","319"
"yellow","7","Treron No. 292","292","Duster No. 319","319"
"black","1","Grate Black No. 9920","9920","Beetle Black No. G16",""
"black","1","Grate Black No. 9920","9920","Smelt Black No. G18",""
"black","1","Beetle Black No. G16","","Smelt Black No. G18",""
"black","2","Down Pipe No. 26","26","Hopper Head No. 305","305"
"black","2","Down Pipe No. 26","26","Railings No. 31","31"
"black","2","Hopper Head No. 305","305","Railings No. 31","31"
"black","3","Off-Black No. 57","57","Strong White No. 2001","2001"
"black","3","Off-Black No. 57","57","Selvedge No. 306","306"
"black","3","Strong White No. 2001","2001","Selvedge No. 306","306"
"black","4","Pitch Black No. 256","256","Rangwali No. 296","296"
"black","4","Pitch Black No. 256","256","Great White No. 2006","2006"
"black","4","Rangwali No. 296","296","Great White No. 2006","2006"
"black","5","Drop Cloth No. 283","283","Down Pipe No. 26","26"
"black","5","Drop Cloth No. 283","283","Green Smoke No. 47","47"
"black","5","Down Pipe No. 26","26","Green Smoke No. 47","47"
"black","6","Strong White No. 2001","2001","De Nimes No. 299","299"
"black","6","Strong White No. 2001","2001","Off-Black No. 57","57"
"black","6","De Nimes No. 299","299","Off-Black No. 57","57"
"black","7","Railings No. 31","31","Stone Blue No. 86","86"
"black","7","Railings No. 31","31","Borrowed Light No. 235","235"
"black","7","Stone Blue No. 86","86","Borrowed Light No. 235","235"
"brown","1","Salon Drab No. 290","290","Mahogany No. 36","36"
"brown","1","Salon Drab No. 290","290","Drab No. 41","41"
"brown","1","Mahogany No. 36","36","Drab No. 41","41"
"brown","2","Stony Ground No. 211","211","Light Gray No. 17","17"
"brown","2","Stony Ground No. 211","211","Mouse's Back No. 40","40"
"brown","2","Light Gray No. 17","17","Mouse's Back No. 40","40"
"brown","3","Broccoli Brown No. 198","198","Stirabout No. 300","300"
"brown","3","Broccoli Brown No. 198","198","Jitney No. 293","293"
"brown","3","Stirabout No. 300","300","Jitney No. 293","293"
"brown","4","Tanner's Brown No. 255","255","Red Earth No. 64","64"
"brown","4","Tanner's Brown No. 255","255","Etruscan Red No. 56","56"
"brown","4","Red Earth No. 64","64","Etruscan Red No. 56","56"
"brown","5","Strong White No. 2001","2001","Charleston Gray No. 243","243"
"brown","5","Strong White No. 2001","2001","Pink Drab No. 207","207"
"brown","5","Charleston Gray No. 243","243","Pink Drab No. 207","207"
"brown","6","Stirabout No. 300","300","Jitney No. 293","293"
"brown","6","Stirabout No. 300","300","Marmelo No. 316","316"
"brown","6","Jitney No. 293","293","Marmelo No. 316","316"
"brown","7","Tailor Tack No. 302","302","Dibber No. 312","312"
"brown","7","Tailor Tack No. 302","302","Cola No. 9918","9918"
"brown","7","Dibber No. 312","312","Cola No. 9918","9918"
"purple","1","Paean Black No. 294","294","Brinjal No. 222","222"
"purple","1","Paean Black No. 294","294","Imperial Purple No. W40",""
"purple","1","Brinjal No. 222","222","Imperial Purple No. W40",""
"purple","2","Calluna No. 270","270","Brassica No. 271","271"
"purple","2","Calluna No. 270","270","Pelt No. 254","254"
"purple","2","Brassica No. 271","271","Pelt No. 254","254"
"purple","3","Brinjal No. 222","222","Peignoir No. 286","286"
"purple","3","Brinjal No. 222","222","Pelt No. 254","254"
"purple","3","Peignoir No. 286","286","Pelt No. 254","254"
"purple","4","Paean Black No. 294","294","Preference Red No. 297","297"
"purple","4","Paean Black No. 294","294","Hague Blue No. 30","30"
"purple","4","Preference Red No. 297","297","Hague Blue No. 30","30"
"purple","5","Strong White No. 2001","2001","Brassica No. 271","271"
"purple","5","Strong White No. 2001","2001","Ammonite No. 274","274"
"purple","5","Brassica No. 271","271","Ammonite No. 274","274"
"purple","6","Skimming Stone No. 241","241","Brassica No. 271","271"
"purple","6","Skimming Stone No. 241","241","Ammonite No. 274","274"
"purple","6","Brassica No. 271","271","Ammonite No. 274","274"
"purple","7","Kakelugn No. 317","317","Sap Green No. 199","199"
"purple","7","Kakelugn No. 317","317","Brinjal No. 222","222"
"purple","7","Sap Green No. 199","199","Brinjal No. 222","222"